Year,site,date,treatment,ldist,hdist,temp,windm,lbee_vis,hbee_vis,flDens,Bay
2015,Rabusic,7/11/2015,Standard,87,500,25.1,0,0,9,1361.6,Male
2015,Rabusic,7/11/2015,Standard,94,198,31,0.6,5,3,572,Female
2015,Rabusic,7/11/2015,Standard,94,198,31,0.6,4,37,1857.6,Male
2015,Rabusic,7/11/2015,Standard,161,40,27.8,0.4,4,76,840,Female
2015,Rabusic,7/11/2015,Standard,161,40,27.8,0.4,0,17,2686.4,Male
2015,Skretting,7/27/2015,Standard,3,86,15,1.2,1,0,501.6,Female
2015,Skretting,7/27/2015,Standard,3,86,15,1.2,0,1,633.6,Male
2015,Skretting,7/27/2015,Standard,5,370,15.7,0.6,0,0,NA,Female
2015,Skretting,7/27/2015,Standard,5,640,17.6,0.8,0,12,476,Female
2015,Skretting,7/27/2015,Standard,5,370,15.7,0.6,0,0,NA,Male
2015,Skretting,7/27/2015,Standard,5,640,17.6,0.8,0,15,619.2,Male
2015,Skretting,7/27/2015,Standard,43,430,15.8,0.8,0,0,NA,Female
2015,Skretting,7/27/2015,Standard,43,430,15.8,0.8,0,0,NA,Male
2015,Skretting,7/27/2015,Standard,55,91,16.1,0.4,0,0,NA,Female
2015,Skretting,7/27/2015,Standard,55,91,16.1,0.4,0,0,NA,Male
2015,Skretting,7/27/2015,Standard,98,600,20.3,1.8,0,0,696,Female
2015,Skretting,7/27/2015,Standard,98,600,20.3,1.8,0,5,1170.4,Male
2015,Vandenhoek,7/3/2015,Standard,3,100,30.9,1,20,28,453.6,Female
2015,Vandenhoek,7/3/2015,Standard,3,100,30.9,1,27,2,163.2,Male
2015,Vandenhoek,7/3/2015,Standard,5,680,32.7,0.9,6,21,851.2,Female
2015,Vandenhoek,7/3/2015,Standard,5,680,32.7,0.9,15,0,240,Male
2015,Vandenhoek,7/3/2015,Standard,15,445,31.6,0.9,9,11,224,Female
2015,Vandenhoek,7/3/2015,Standard,15,445,31.6,0.9,1,8,347.2,Male
2015,Vandenhoek,7/3/2015,Standard,50,545,30.8,0,2,8,312.8,Female
2015,Vandenhoek,7/3/2015,Standard,50,650,31.2,0.8,7,3,422.4,Female
2015,Vandenhoek,7/3/2015,Standard,50,545,30.8,0,0,0,294.4,Male
2015,Vandenhoek,7/3/2015,Standard,50,650,31.2,0.8,2,0,588,Male
2015,Vandenhoek,7/3/2015,Standard,60,50,30.2,0.3,0,0,368,Female
2015,Vandenhoek,7/3/2015,Standard,60,50,30.2,0.3,0,12,352.8,Male
2015,Versteegen 1,7/15/2015,Double tent,5,84,26.7,0,62,17,727.2,Female
2015,Versteegen 1,7/15/2015,Double tent,5,84,26.7,0,75,9,691.2,Male
2015,Versteegen 1,7/15/2015,Double tent,7,780,22.3,0,30,0,908.8,Female
2015,Versteegen 1,7/15/2015,Double tent,7,780,22.3,0,33,0,940.8,Male
2015,Versteegen 1,7/15/2015,Double tent,10,400,26.3,0.3,41,0,NA,Female
2015,Versteegen 1,7/15/2015,Double tent,10,400,26.3,0.3,33,6,NA,Male
2015,Versteegen 1,7/15/2015,Double tent,32,410,29.3,0.8,1,9,1276.8,Female
2015,Versteegen 1,7/15/2015,Double tent,32,410,29.3,0.8,0,0,NA,Male
2015,Versteegen 1,7/15/2015,Double tent,38,720,28,0.3,32,7,863.2,Female
2015,Versteegen 1,7/15/2015,Double tent,38,720,28,0.3,84,0,790.4,Male
2015,Versteegen 1,7/15/2015,Double tent,50,43,28.4,0,15,1,576,Female
2015,Versteegen 1,7/15/2015,Double tent,50,43,28.4,0,28,0,925.6,Male
2015,Versteegen 3,7/24/2015,Double tent,5,410,24.9,0.3,5,0,168,Female
2015,Versteegen 3,7/24/2015,Double tent,5,410,24.9,0.3,55,4,274.4,Male
2015,Versteegen 3,7/24/2015,Double tent,8,105,28,0.6,9,0,168,Female
2015,Versteegen 3,7/24/2015,Double tent,8,105,28,0.6,34,61,582.4,Male
2015,Versteegen 3,7/24/2015,Double tent,9,130,30,0.9,21,16,296,Female
2015,Versteegen 3,7/24/2015,Double tent,9,130,30,0.9,34,24,392,Male
2015,Versteegen 3,7/24/2015,Double tent,53,51,21.6,0.6,0,8,179.2,Female
2015,Versteegen 3,7/24/2015,Double tent,53,51,21.6,0.6,21,27,336,Male
2015,Versteegen 3,7/24/2015,Double tent,62,320,24.7,0.6,0,0,669.6,Female
2015,Versteegen 3,7/24/2015,Double tent,62,320,24.7,0.6,0,11,396,Male
2015,Versteegen 3,7/24/2015,Double tent,NA,165,30.1,0,28,42,296,Female
2015,Versteegen 3,7/24/2015,Double tent,NA,165,30.1,0,10,27,787.2,Male
2015,Versteegen 4,7/22/2015,Double tent and bees,5,250,19,0.4,0,0,NA,Female
2015,Versteegen 4,7/22/2015,Double tent and bees,5,250,19,0.4,0,0,624,Male
2015,Versteegen 4,7/22/2015,Double tent and bees,7,270,20.9,0.4,0,0,448,Female
2015,Versteegen 4,7/22/2015,Double tent and bees,7,100,26.3,0.3,15,0,285.6,Female
2015,Versteegen 4,7/22/2015,Double tent and bees,7,270,20.9,0.4,65,11,1142.4,Male
2015,Versteegen 4,7/22/2015,Double tent and bees,7,100,26.3,0.3,73,27,844.8,Male
2015,Versteegen 4,7/22/2015,Double tent and bees,35,250,20.2,0,0,34,856,Female
2015,Versteegen 4,7/22/2015,Double tent and bees,35,416,20.2,0.3,0,15,338.4,Female
2015,Versteegen 4,7/22/2015,Double tent and bees,35,250,20.2,0,0,2,460.8,Male
2015,Versteegen 4,7/22/2015,Double tent and bees,35,416,20.2,0.3,0,0,NA,Male
2015,Versteegen 4,7/22/2015,Double tent and bees,62,55,25.5,1.6,22,66,806.4,Female
2015,Versteegen 4,7/22/2015,Double tent and bees,62,55,25.5,1.6,21,19,585.6,Male
2015,Versteegen 5,7/21/2015,Standard,3,520,26.2,0,93,0,1346.4,Female
2015,Versteegen 5,7/21/2015,Standard,3,710,34.4,0.3,92,5,381.6,Female
2015,Versteegen 5,7/21/2015,Standard,3,520,26.2,0,54,26,941.6,Male
2015,Versteegen 5,7/21/2015,Standard,3,710,34.4,0.3,128,2,739.2,Male
2015,Versteegen 5,7/21/2015,Standard,5,33,31.8,0.7,23,8,194.4,Female
2015,Versteegen 5,7/21/2015,Standard,5,33,31.8,0.7,75,26,528,Male
2015,Versteegen 5,7/21/2015,Standard,42,530,26.7,0.3,13,13,1036.8,Female
2015,Versteegen 5,7/21/2015,Standard,42,700,33.6,0.9,5,69,614.4,Female
2015,Versteegen 5,7/21/2015,Standard,42,530,26.7,0.3,4,43,642.4,Male
2015,Versteegen 5,7/21/2015,Standard,42,700,33.6,0.9,17,31,720,Male
2015,Versteegen 5,7/21/2015,Standard,58,45,31.2,0.5,12,5,308,Female
2015,Versteegen 5,7/21/2015,Standard,58,45,31.2,0.5,15,13,643.2,Male
2015,Vossebelt,6/26/2015,Standard,1.8,598.9,32.8,0.8,1,0,NA,Female
2015,Vossebelt,6/26/2015,Standard,1.8,598.9,32.8,0.8,2,0,NA,Male
2015,Vossebelt,6/26/2015,Standard,4.57,50.3,29,0.7,81,7,236,Female
2015,Vossebelt,6/26/2015,Standard,4.57,50.3,29,0.7,33,8,220,Male
2015,Vossebelt,6/26/2015,Standard,10.1,680,31.8,0.7,9,0,236,Female
2015,Vossebelt,6/26/2015,Standard,10.1,680,31.8,0.7,13,0,220,Male
2015,Vossebelt,6/26/2015,Standard,36.6,690,31.3,0.9,15,0,236,Female
2015,Vossebelt,6/26/2015,Standard,36.6,690,31.3,0.9,0,0,220,Male
2015,Vossebelt,6/26/2015,Standard,49.4,77.7,29.4,0.5,12,6,236,Female
2015,Vossebelt,6/26/2015,Standard,49.4,568.8,31.9,0.4,1,0,236,Female
2015,Vossebelt,6/26/2015,Standard,49.4,77.7,29.4,0.5,28,1,220,Male
2015,Vossebelt,6/26/2015,Standard,49.4,568.8,31.9,0.4,2,0,220,Male
2015,Weggeman,7/25/2015,Standard,6,57,20.7,0.5,1,5,262.4,Female
2015,Weggeman,7/25/2015,Standard,6,57,20.7,0.5,1,29,969.6,Male
