"Field","Distance","minDist","Bay","EdgeCent","Date","StartTime","TotalTime","FlDens","lbee","hbee","otherBee","hFly","AirTemp","WindSp","RH","Year","PlDens"
21,43,50,"F","Edge",2015-07-15,NA,10,576,15,1,NA,NA,NA,NA,NA,2015,NA
21,43,50,"M","Edge",2015-07-15,NA,10,925.6,28,0,NA,NA,NA,NA,NA,2015,NA
23,105,8,"F","Edge",2015-07-24,NA,10,168,9,0,NA,NA,NA,NA,NA,2015,NA
23,105,8,"M","Edge",2015-07-24,NA,10,582.4,34,61,NA,NA,NA,NA,NA,2015,NA
23,130,9,"F","Edge",2015-07-24,NA,10,296,21,16,NA,NA,NA,NA,NA,2015,NA
23,130,9,"M","Edge",2015-07-24,NA,10,392,34,24,NA,NA,NA,NA,NA,2015,NA
23,51,53,"F","Edge",2015-07-24,NA,10,179.2,0,8,NA,NA,NA,NA,NA,2015,NA
23,51,53,"M","Edge",2015-07-24,NA,10,336,21,27,NA,NA,NA,NA,NA,2015,NA
23,320,62,"F","Edge",2015-07-24,NA,10,669.6,0,0,NA,NA,NA,NA,NA,2015,NA
23,320,62,"M","Edge",2015-07-24,NA,10,396,0,11,NA,NA,NA,NA,NA,2015,NA
24,250,5,"F","Edge",2015-07-22,NA,10,NA,0,0,NA,NA,NA,NA,NA,2015,NA
24,250,5,"M","Edge",2015-07-22,NA,10,624,0,0,NA,NA,NA,NA,NA,2015,NA
24,270,7,"F","Edge",2015-07-22,NA,10,448,0,0,NA,NA,NA,NA,NA,2015,NA
24,100,7,"F","Edge",2015-07-22,NA,10,285.6,15,0,NA,NA,NA,NA,NA,2015,NA
24,270,7,"M","Edge",2015-07-22,NA,10,1142.4,65,11,NA,NA,NA,NA,NA,2015,NA
24,100,7,"M","Edge",2015-07-22,NA,10,844.8,73,27,NA,NA,NA,NA,NA,2015,NA
24,250,35,"F","Edge",2015-07-22,NA,10,856,0,34,NA,NA,NA,NA,NA,2015,NA
24,250,35,"M","Edge",2015-07-22,NA,10,460.8,0,2,NA,NA,NA,NA,NA,2015,NA
24,55,62,"F","Edge",2015-07-22,NA,10,806.4,22,66,NA,NA,NA,NA,NA,2015,NA
24,55,62,"M","Edge",2015-07-22,NA,10,585.6,21,19,NA,NA,NA,NA,NA,2015,NA
25,33,5,"F","Edge",2015-07-21,NA,10,194.4,23,8,NA,NA,NA,NA,NA,2015,NA
25,33,5,"M","Edge",2015-07-21,NA,10,528,75,26,NA,NA,NA,NA,NA,2015,NA
25,45,58,"F","Edge",2015-07-21,NA,10,308,12,5,NA,NA,NA,NA,NA,2015,NA
25,45,58,"M","Edge",2015-07-21,NA,10,643.2,15,13,NA,NA,NA,NA,NA,2015,NA
46,50.3,4.57,"F","Edge",2015-06-26,NA,10,236,81,7,NA,NA,NA,NA,NA,2015,NA
46,50.3,4.57,"M","Edge",2015-06-26,NA,10,220,33,8,NA,NA,NA,NA,NA,2015,NA
46,77.7,49.4,"F","Edge",2015-06-26,NA,10,236,12,6,NA,NA,NA,NA,NA,2015,NA
46,77.7,49.4,"M","Edge",2015-06-26,NA,10,220,28,1,NA,NA,NA,NA,NA,2015,NA
47,57,6,"F","Edge",2015-07-25,NA,10,262.4,1,5,NA,NA,NA,NA,NA,2015,NA
47,57,6,"M","Edge",2015-07-25,NA,10,969.6,1,29,NA,NA,NA,NA,NA,2015,NA
47,370,7,"F","Edge",2015-07-25,NA,10,336,0,0,NA,NA,NA,NA,NA,2015,NA
47,185,7,"F","Edge",2015-07-25,NA,10,NA,0,1,NA,NA,NA,NA,NA,2015,NA
47,370,7,"M","Edge",2015-07-25,NA,10,968,0,4,NA,NA,NA,NA,NA,2015,NA
47,185,7,"M","Edge",2015-07-25,NA,10,336,25,20,NA,NA,NA,NA,NA,2015,NA
47,370,49,"F","Edge",2015-07-25,NA,10,NA,0,13,NA,NA,NA,NA,NA,2015,NA
47,178,49,"F","Edge",2015-07-25,NA,10,192,0,23,NA,NA,NA,NA,NA,2015,NA
47,370,49,"M","Edge",2015-07-25,NA,10,NA,0,36,NA,NA,NA,NA,NA,2015,NA
47,178,49,"M","Edge",2015-07-25,NA,10,492.8,0,39,NA,NA,NA,NA,NA,2015,NA
47,33,51,"F","Edge",2015-07-25,NA,10,224,1,11,NA,NA,NA,NA,NA,2015,NA
47,33,51,"M","Edge",2015-07-25,NA,10,756,0,69,NA,NA,NA,NA,NA,2015,NA
48,80,5,"F","Edge",2015-06-29,NA,10,540,34,0,NA,NA,NA,NA,NA,2015,NA
48,80,5,"M","Edge",2015-06-29,NA,10,412,0,0,NA,NA,NA,NA,NA,2015,NA
48,50,10,"F","Edge",2015-06-29,NA,10,540,59,0,NA,NA,NA,NA,NA,2015,NA
48,200,10,"F","Edge",2015-06-29,NA,10,540,9,6,NA,NA,NA,NA,NA,2015,NA
48,50,10,"M","Edge",2015-06-29,NA,10,412,16,0,NA,NA,NA,NA,NA,2015,NA
48,200,10,"M","Edge",2015-06-29,NA,10,412,5,0,NA,NA,NA,NA,NA,2015,NA
48,100,60,"F","Edge",2015-06-29,NA,10,540,20,4,NA,NA,NA,NA,NA,2015,NA
48,100,60,"M","Edge",2015-06-29,NA,10,412,0,1,NA,NA,NA,NA,NA,2015,NA
31,330,5,"F","Edge",2015-07-10,NA,10,851.2,44,8,NA,NA,NA,NA,NA,2015,NA
31,330,5,"M","Edge",2015-07-10,NA,10,1641.6,37,7,NA,NA,NA,NA,NA,2015,NA
31,75,7,"F","Edge",2015-07-10,NA,10,1260,14,4,NA,NA,NA,NA,NA,2015,NA
31,152,7,"F","Edge",2015-07-10,NA,10,1000,28,0,NA,NA,NA,NA,NA,2015,NA
31,75,7,"M","Edge",2015-07-10,NA,10,1196,17,3,NA,NA,NA,NA,NA,2015,NA
31,152,7,"M","Edge",2015-07-10,NA,10,655.2,120,1,NA,NA,NA,NA,NA,2015,NA
31,320,30,"F","Edge",2015-07-10,NA,10,1568,16,32,NA,NA,NA,NA,NA,2015,NA
31,320,30,"M","Edge",2015-07-10,NA,10,1345.6,22,6,NA,NA,NA,NA,NA,2015,NA
31,248,47,"F","Edge",2015-07-10,NA,10,1092,6,11,NA,NA,NA,NA,NA,2015,NA
31,248,47,"M","Edge",2015-07-10,NA,10,1299.2,3,28,NA,NA,NA,NA,NA,2015,NA
31,56,55,"F","Edge",2015-07-10,NA,10,336,0,9,NA,NA,NA,NA,NA,2015,NA
31,56,55,"M","Edge",2015-07-10,NA,10,528,0,16,NA,NA,NA,NA,NA,2015,NA
32,73,4,"F","Edge",2015-07-09,NA,10,NA,42,1,NA,NA,NA,NA,NA,2015,NA
32,73,4,"F","Edge",2015-07-09,NA,10,NA,85,0,NA,NA,NA,NA,NA,2015,NA
32,73,4,"M","Edge",2015-07-09,NA,10,NA,64,1,NA,NA,NA,NA,NA,2015,NA
32,73,4,"M","Edge",2015-07-09,NA,10,NA,81,0,NA,NA,NA,NA,NA,2015,NA
32,64,35,"F","Edge",2015-07-09,NA,10,NA,52,2,NA,NA,NA,NA,NA,2015,NA
32,64,35,"M","Edge",2015-07-09,NA,10,NA,17,0,NA,NA,NA,NA,NA,2015,NA
33,91,5,"F","Edge",2015-07-14,NA,10,288,3,0,NA,NA,NA,NA,NA,2015,NA
33,91,5,"M","Edge",2015-07-14,NA,10,1564,61,6,NA,NA,NA,NA,NA,2015,NA
33,70,51,"F","Edge",2015-07-14,NA,10,NA,0,0,NA,NA,NA,NA,NA,2015,NA
33,70,51,"M","Edge",2015-07-14,NA,10,301.6,0,0,NA,NA,NA,NA,NA,2015,NA
34,55,5,"F","Edge",2015-07-13,NA,10,864,85,0,NA,NA,NA,NA,NA,2015,NA
34,55,5,"M","Edge",2015-07-13,NA,10,639.2,56,1,NA,NA,NA,NA,NA,2015,NA
34,85,40,"F","Edge",2015-07-13,NA,10,824,12,7,NA,NA,NA,NA,NA,2015,NA
34,68,40,"F","Edge",2015-07-13,NA,10,NA,7,22,NA,NA,NA,NA,NA,2015,NA
34,85,40,"M","Edge",2015-07-13,NA,10,2041.6,0,13,NA,NA,NA,NA,NA,2015,NA
34,68,40,"M","Edge",2015-07-13,NA,10,NA,2,0,NA,NA,NA,NA,NA,2015,NA
34,3,125,"F","Edge",2015-07-13,NA,10,584,95,0,NA,NA,NA,NA,NA,2015,NA
34,3,125,"M","Edge",2015-07-13,NA,10,492.8,61,2,NA,NA,NA,NA,NA,2015,NA
49,110,5,"F","Edge",2015-06-30,NA,10,NA,65,0,NA,NA,NA,NA,NA,2015,NA
49,110,5,"M","Edge",2015-06-30,NA,10,NA,91,9,NA,NA,NA,NA,NA,2015,NA
49,15,100,"F","Edge",2015-06-30,NA,10,344,21,33,NA,NA,NA,NA,NA,2015,NA
49,15,100,"M","Edge",2015-06-30,NA,10,348,5,9,NA,NA,NA,NA,NA,2015,NA
1,90,5,"F","Edge",2016-06-30,NA,10,486,22,7,NA,NA,NA,NA,NA,2016,NA
1,90,5,"M","Edge",2016-06-30,NA,10,630,44,4,NA,NA,NA,NA,NA,2016,NA
1,120,49,"F","Edge",2016-06-30,NA,10,270.6,2,16,NA,NA,NA,NA,NA,2016,NA
1,120,49,"M","Edge",2016-06-30,NA,10,504,2,4,NA,NA,NA,NA,NA,2016,NA
2,125,3,"F","Edge",2016-07-05,NA,10,396,31,0,NA,NA,NA,NA,NA,2016,NA
2,125,3,"M","Edge",2016-07-05,NA,10,290.4,60,4,NA,NA,NA,NA,NA,2016,NA
2,160,40,"F","Edge",2016-07-05,NA,10,364.8,10,58,NA,NA,NA,NA,NA,2016,NA
2,160,40,"M","Edge",2016-07-05,NA,10,696,55,0,NA,NA,NA,NA,NA,2016,NA
3,140,2,"F","Edge",2016-07-05,NA,10,480,63,0,NA,NA,NA,NA,NA,2016,NA
3,140,2,"M","Edge",2016-07-05,NA,10,441.6,54,0,NA,NA,NA,NA,NA,2016,NA
3,120,49,"F","Edge",2016-07-05,NA,10,384,1,16,NA,NA,NA,NA,NA,2016,NA
3,120,49,"M","Edge",2016-07-05,NA,10,691.2,11,0,NA,NA,NA,NA,NA,2016,NA
37,130,3,"F","Edge",2016-07-19,NA,10,352,36,0,NA,NA,NA,NA,NA,2016,NA
37,130,3,"M","Edge",2016-07-19,NA,10,881.6,34,26,NA,NA,NA,NA,NA,2016,NA
37,130,41,"F","Edge",2016-07-19,NA,10,408,1,14,NA,NA,NA,NA,NA,2016,NA
37,130,41,"M","Edge",2016-07-19,NA,10,344,6,0,NA,NA,NA,NA,NA,2016,NA
4,120,14,"F","Edge",2016-07-19,NA,10,376,23,0,NA,NA,NA,NA,NA,2016,NA
